GaugeID,catchment_area_km2_x,catchment_perimeter_km,centroid_lon_x,centroid_lat_x,bbox_minx,bbox_miny,bbox_maxx,bbox_maxy,bbox_width_km,bbox_height_km,dem_elev_mean_m,dem_elev_min_m,dem_elev_max_m,dem_elev_std_m,terrain_slope_mean_deg,terrain_aspect_deg_mean,twi_mean,tri_mean,road_length_km,road_density_km_per_km2,hospital_count,nearest_hospital_distance_km,centroid_lon_y,centroid_lat_y,catchment_area_km2_y,population_total,population_density_per_km2,urban_built_up_pct,dense_forest_pct,agriculture_pct,water_body_pct,barren_rocky_pct,impervious_surface_pct
585,642.7895908732859,129.96635709899758,7076272.127552878,2501573.446099779,7058775.452688504,2486257.5998823238,7091741.598440893,2516274.4896003734,32.96614575238898,30.016889718050138,129942957.56043056,129942777.56043056,129943217.56043056,250.69739771832147,28.0,109.1479759067297,8.271347509047944,46.92553158929786,0.0,0.0,0,0.0,73.33966937838966,20.00253963287444,642.79,106346,132.135,45.781,53.713,50.498,14.856,18.642,57.423
589,12419.154656191731,656.6217851533089,7157018.346530389,2181274.6649589725,7098174.017124286,2108345.3320507244,7220389.972108755,2265768.77616842,122.21595498446932,157.42344411769557,125146534.12762618,125146354.12762618,125146794.12762618,3194.788664047933,28.0,345.11877350509167,12.0,80.0,0.0,0.0,0,0.0,74.17630557747964,17.35650322283611,12419.155,1990565,1545.299,100.0,100.0,100.0,100.0,100.0,100.0
596,402.5584044972399,142.3146910449015,7108655.392668114,2142866.468174294,7087721.336763774,2133809.018445918,7124707.744193284,2156194.291481991,36.9864074295098,22.385273036072963,123874831.13915467,123874651.13915467,123875091.13915467,190.63960112431,28.0,318.5340130254626,7.983070085396688,36.1151282023758,0.0,0.0,0,0.0,73.6753048780489,17.04083672086721,402.558,67909,103.307,30.166,50.831,42.09,10.051,15.038,38.205
602,826.0029880674532,237.14818468067517,7094067.798039549,2270305.279770785,7079359.192475362,2241465.139565393,7109591.560287311,2300455.84934573,30.232367811948997,58.99070978033729,125993678.61234874,125993498.61234874,125993938.61234874,296.50074701686333,28.0,70.18235594034195,8.491203585680944,55.1701344630354,0.0,0.0,0,0.0,73.52410165740753,18.08747397167169,826.003,135660,154.12,57.69,55.912,56.91,18.52,21.39,72.08
612,33433.01614674828,1198.621325050924,7196196.861052749,2277576.837829165,7077268.656403258,2120571.317737781,7321700.566372195,2430102.7354556685,244.4319099689368,309.5314177178876,127350115.41355796,127349935.41355796,127350375.41355796,8448.25403668707,28.0,151.7494747415185,12.0,80.0,0.0,0.0,0,0.0,74.58103020830798,18.150240113681527,33433.016,5352783,4066.962,100.0,100.0,100.0,100.0,100.0,100.0
626,15032.961877616935,788.0872716714423,7160709.56963628,2342868.5289469496,7077268.656403258,2263744.4989047465,7266220.955227931,2430102.7354556685,188.9522988246726,166.35823655092204,128099518.35668044,128099338.35668044,128099778.35668044,3848.240469404234,28.0,86.12672651559114,12.0,80.0,0.0,0.0,0,0.0,74.21439500179777,18.686700827040625,15032.962,2408774,1858.955,100.0,100.0,100.0,100.0,100.0,100.0
635,6974.433613463921,489.7176992683988,7138478.889839195,2502856.720864258,7090133.493770045,2451179.4665234843,7189835.983362638,2555226.360410817,99.70248959259315,104.04689388733264,130712537.65362698,130712357.65362698,130712797.65362698,1833.60840336598,28.0,170.0085527524352,12.0,80.0,0.0,0.0,0,0.0,73.98440311418683,20.01357939254133,6974.434,1119409,891.932,100.0,100.0,100.0,100.0,100.0,100.0
640,11386.901459807195,464.2346687968312,7140315.630072598,2354928.110079657,7077588.137647383,2296110.3724222933,7211029.31888252,2430576.382505082,133.4411812351374,134.46601008278876,128071863.542305,128071683.542305,128072123.542305,2936.725364951799,28.0,140.67065338790417,12.0,80.0,0.0,0.0,0,0.0,74.00342558540174,18.78618989087322,11386.901,1825404,1421.428,100.0,100.0,100.0,100.0,100.0,100.0
642,22281.89241477721,881.6964298824734,7165358.602040124,2319519.801854245,7077268.656403258,2225247.88002373,7266220.955227931,2430102.7354556685,188.9522988246726,204.85485543193852,127735029.6578579,127734849.6578579,127735289.6578579,5660.473103694303,28.0,167.41836111992598,12.0,80.0,0.0,0.0,0,0.0,74.26253400121435,18.49434669095325,22281.892,3568603,2728.827,100.0,100.0,100.0,100.0,100.0,100.0
643,2448.578148884876,278.52557414630286,7150241.987032078,2095799.756074572,7115485.974518618,2055294.085733344,7196725.981634389,2128180.522007672,81.24000711577106,72.8864362743278,123526669.45372725,123526489.45372725,123526929.45372725,702.1445372212189,28.0,197.88328870385885,10.438293778661851,80.0,0.0,0.0,0,0.0,74.10633009689847,16.655884120578943,2448.578,395273,348.829,100.0,75.383,100.0,50.972,45.729,100.0
